status,name,slug,category,tags,short_description,long_description,use_cases,target_users,not_for,pricing,difficulty,official_url,alternatives,pros,cons,privacy_notes,copyright_notes,source_notes,first_hand_status,test_scenario,what_worked,what_failed,final_verdict,trust_level,geo_summary,discussion_hook,cover_image_prompt,editor_notes
draft,ChatGPT,chatgpt,AI 工具,"小白友好,AI 写作,资料整理,需要账号",ChatGPT 是一个用于对话、写作和资料整理的 AI 助手，适合新手用来快速整理思路。,这是一个待实测的 AI 助手条目。它适合写初稿、改写文本、整理资料和辅助学习，但具体免费额度、模型差异和隐私边界需要后续人工核验。,写文章初稿；整理资料；翻译润色；生成代码思路,学生；自媒体；办公用户；开发者,需要严格事实校验的场景；不能上传敏感资料的场景,待核验,零基础,待核验,Claude；Gemini；Perplexity,待实测后补充真实优点,待实测后补充真实缺点,使用前需确认是否会上传文本、图片、文件、代码或个人数据；敏感内容不建议直接提交给第三方服务。,涉及图片、视频、音乐、模板、字体或生成内容时，商用前必须核验授权条款。,待人工核验官网与文档,待实测,待补充真实测试场景,待实测后补充,待实测后补充,暂不下最终推荐结论,草稿,这是一个待实测的 ChatGPT 工具条目，当前只完成基础信息整理，暂不做最终推荐。,你用过 ChatGPT 吗？最劝退你的地方是什么？,"warm dark editorial website card illustration for ChatGPT, abstract productivity tool scene, no real logo, no official brand imitation",首批种子工具草稿，禁止直接发布，需人工核验和真实测试后再进入 ready 状态
draft,Claude,claude,AI 工具,"AI 写作,长文本,需要账号,待核验",Claude 是一个偏长文本处理和对话辅助的 AI 工具，适合用来整理材料和改写内容。,这是一个待实测的 AI 助手条目。它可能适合长文本阅读、总结和写作辅助，但可用地区、价格和上传内容边界需要人工核验。,长文总结；内容改写；资料分析；提纲整理,写作者；研究型用户；内容运营者,需要确定性事实答案的场景；不能上传隐私资料的场景,待核验,入门,待核验,ChatGPT；Gemini；Perplexity,待实测后补充真实优点,待实测后补充真实缺点,使用前需确认是否会上传文本、图片、文件、代码或个人数据；敏感内容不建议直接提交给第三方服务。,涉及图片、视频、音乐、模板、字体或生成内容时，商用前必须核验授权条款。,待人工核验官网与文档,待实测,待补充真实测试场景,待实测后补充,待实测后补充,暂不下最终推荐结论,草稿,这是一个待实测的 Claude 工具条目，当前只完成基础信息整理，暂不做最终推荐。,你用过 Claude 吗？最劝退你的地方是什么？,"warm dark editorial website card illustration for Claude, abstract productivity tool scene, no real logo, no official brand imitation",首批种子工具草稿，禁止直接发布，需人工核验和真实测试后再进入 ready 状态
draft,Gemini,gemini,AI 工具,"AI 助手,Google,多模态,待核验",Gemini 是一个 AI 助手工具，适合用来处理问答、资料整理和多模态任务。,这是一个待实测的 AI 助手条目。它和 Google 生态可能结合更紧，但具体功能、地区限制和免费额度需要人工核验。,问答；资料整理；图片理解；文本生成,Google 生态用户；学生；办公用户,不适合完全依赖其输出做高风险判断,待核验,入门,待核验,ChatGPT；Claude；Perplexity,待实测后补充真实优点,待实测后补充真实缺点,使用前需确认是否会上传文本、图片、文件、代码或个人数据；敏感内容不建议直接提交给第三方服务。,涉及图片、视频、音乐、模板、字体或生成内容时，商用前必须核验授权条款。,待人工核验官网与文档,待实测,待补充真实测试场景,待实测后补充,待实测后补充,暂不下最终推荐结论,草稿,这是一个待实测的 Gemini 工具条目，当前只完成基础信息整理，暂不做最终推荐。,你用过 Gemini 吗？最劝退你的地方是什么？,"warm dark editorial website card illustration for Gemini, abstract productivity tool scene, no real logo, no official brand imitation",首批种子工具草稿，禁止直接发布，需人工核验和真实测试后再进入 ready 状态
draft,Perplexity,perplexity,AI 工具,"AI 搜索,资料检索,引用来源,需要账号",Perplexity 是一个偏 AI 搜索和资料检索的工具，适合用来快速找资料和看来源。,这是一个待实测的 AI 搜索工具条目。它适合做资料起点，但引用准确性、来源质量和高级功能价格需要人工核验。,资料检索；问题调研；来源追踪；选题准备,研究型用户；内容创作者；学生,不适合不核验来源就直接引用的场景,待核验,入门,待核验,ChatGPT；Gemini；Google Search,待实测后补充真实优点,待实测后补充真实缺点,使用前需确认是否会上传文本、图片、文件、代码或个人数据；敏感内容不建议直接提交给第三方服务。,涉及图片、视频、音乐、模板、字体或生成内容时，商用前必须核验授权条款。,待人工核验官网与文档,待实测,待补充真实测试场景,待实测后补充,待实测后补充,暂不下最终推荐结论,草稿,这是一个待实测的 Perplexity 工具条目，当前只完成基础信息整理，暂不做最终推荐。,你用过 Perplexity 吗？最劝退你的地方是什么？,"warm dark editorial website card illustration for Perplexity, abstract productivity tool scene, no real logo, no official brand imitation",首批种子工具草稿，禁止直接发布，需人工核验和真实测试后再进入 ready 状态
draft,Poe,poe,AI 工具,"AI 聚合,多模型,需要账号,待核验",Poe 是一个 AI 模型聚合平台，适合想集中尝试多个 AI 助手的用户。,这是一个待实测的 AI 聚合平台条目。它可能适合对比不同模型回答，但可用模型、额度和订阅规则需要人工核验。,模型对比；多 AI 尝试；写作辅助；问答,AI 工具爱好者；内容创作者；学生,不适合只想长期固定使用单一工具的人,待核验,入门,待核验,ChatGPT；Claude；Gemini,待实测后补充真实优点,待实测后补充真实缺点,使用前需确认是否会上传文本、图片、文件、代码或个人数据；敏感内容不建议直接提交给第三方服务。,涉及图片、视频、音乐、模板、字体或生成内容时，商用前必须核验授权条款。,待人工核验官网与文档,待实测,待补充真实测试场景,待实测后补充,待实测后补充,暂不下最终推荐结论,草稿,这是一个待实测的 Poe 工具条目，当前只完成基础信息整理，暂不做最终推荐。,你用过 Poe 吗？最劝退你的地方是什么？,"warm dark editorial website card illustration for Poe, abstract productivity tool scene, no real logo, no official brand imitation",首批种子工具草稿，禁止直接发布，需人工核验和真实测试后再进入 ready 状态
draft,Cursor,cursor,AI 编程与开发,"AI 编程,开发者,需要英文,需要账号",Cursor 是一个面向编程场景的 AI 编辑器，适合用来辅助理解、修改和生成代码。,这是一个待实测的 AI 编程工具条目。它适合代码辅助和项目改造，但对小白是否友好、免费额度和误改风险需要真实项目测试。,代码生成；代码解释；项目重构；错误排查,开发者；独立开发者；AI 编程学习者,完全不会看代码且无人复核的项目,待核验,进阶,待核验,VS Code；GitHub Copilot；Windsurf,待实测后补充真实优点,待实测后补充真实缺点,使用前需确认是否会上传文本、图片、文件、代码或个人数据；敏感内容不建议直接提交给第三方服务。,涉及图片、视频、音乐、模板、字体或生成内容时，商用前必须核验授权条款。,待人工核验官网与文档,待实测,待补充真实测试场景,待实测后补充,待实测后补充,暂不下最终推荐结论,草稿,这是一个待实测的 Cursor 工具条目，当前只完成基础信息整理，暂不做最终推荐。,你用过 Cursor 吗？最劝退你的地方是什么？,"warm dark editorial website card illustration for Cursor, abstract productivity tool scene, no real logo, no official brand imitation",首批种子工具草稿，禁止直接发布，需人工核验和真实测试后再进入 ready 状态
draft,VS Code,vs-code,AI 编程与开发,"代码编辑器,免费,开发者,插件生态",VS Code 是一个常用代码编辑器，适合开发者和编程新手搭建自己的开发环境。,这是一个待实测的开发工具条目。它适合写代码、装插件和管理项目，但新手可能会卡在环境配置和插件选择上。,代码编辑；插件扩展；项目开发；调试,开发者；编程新手；独立开发者,只想无配置完成任务的非技术用户,待核验,入门,待核验,Cursor；JetBrains IDE；Sublime Text,待实测后补充真实优点,待实测后补充真实缺点,使用前需确认是否会上传文本、图片、文件、代码或个人数据；敏感内容不建议直接提交给第三方服务。,涉及图片、视频、音乐、模板、字体或生成内容时，商用前必须核验授权条款。,待人工核验官网与文档,待实测,待补充真实测试场景,待实测后补充,待实测后补充,暂不下最终推荐结论,草稿,这是一个待实测的 VS Code 工具条目，当前只完成基础信息整理，暂不做最终推荐。,你用过 VS Code 吗？最劝退你的地方是什么？,"warm dark editorial website card illustration for VS Code, abstract productivity tool scene, no real logo, no official brand imitation",首批种子工具草稿，禁止直接发布，需人工核验和真实测试后再进入 ready 状态
draft,GitHub,github,AI 编程与开发,"代码托管,开源,协作,开发者",GitHub 是一个代码托管和协作平台，适合开发者管理项目、版本和开源代码。,这是一个待实测的平台条目。它适合代码托管和协作，但新手需要理解 Git、仓库、分支和权限概念。,代码托管；版本管理；开源协作；Issue 管理,开发者；开源项目维护者；独立开发者,不接触代码和版本管理的普通用户,待核验,入门,待核验,GitLab；Gitee；Bitbucket,待实测后补充真实优点,待实测后补充真实缺点,使用前需确认是否会上传文本、图片、文件、代码或个人数据；敏感内容不建议直接提交给第三方服务。,涉及图片、视频、音乐、模板、字体或生成内容时，商用前必须核验授权条款。,待人工核验官网与文档,待实测,待补充真实测试场景,待实测后补充,待实测后补充,暂不下最终推荐结论,草稿,这是一个待实测的 GitHub 工具条目，当前只完成基础信息整理，暂不做最终推荐。,你用过 GitHub 吗？最劝退你的地方是什么？,"warm dark editorial website card illustration for GitHub, abstract productivity tool scene, no real logo, no official brand imitation",首批种子工具草稿，禁止直接发布，需人工核验和真实测试后再进入 ready 状态
draft,Vercel,vercel,AI 编程与开发,"部署,前端,Next.js,开发者",Vercel 是一个前端部署平台，适合开发者快速部署 Next.js 和静态网站。,这是一个待实测的部署平台条目。它适合前端项目快速上线，但构建额度、绑定域名和环境变量安全需要人工核验。,前端部署；Next.js 发布；预览环境；域名绑定,前端开发者；独立开发者；小型项目团队,不懂构建和环境变量的新手需要谨慎,待核验,入门,待核验,Netlify；Cloudflare Pages；Render,待实测后补充真实优点,待实测后补充真实缺点,使用前需确认是否会上传文本、图片、文件、代码或个人数据；敏感内容不建议直接提交给第三方服务。,涉及图片、视频、音乐、模板、字体或生成内容时，商用前必须核验授权条款。,待人工核验官网与文档,待实测,待补充真实测试场景,待实测后补充,待实测后补充,暂不下最终推荐结论,草稿,这是一个待实测的 Vercel 工具条目，当前只完成基础信息整理，暂不做最终推荐。,你用过 Vercel 吗？最劝退你的地方是什么？,"warm dark editorial website card illustration for Vercel, abstract productivity tool scene, no real logo, no official brand imitation",首批种子工具草稿，禁止直接发布，需人工核验和真实测试后再进入 ready 状态
draft,Supabase,supabase,AI 编程与开发,"数据库,后端服务,开源,开发者",Supabase 是一个后端服务平台，适合开发者快速搭建数据库、认证和存储能力。,这是一个待实测的后端平台条目。它适合小项目快速启动，但权限策略、费用和数据安全需要认真核验。,数据库；认证；文件存储；快速后端,开发者；独立开发者；SaaS 原型项目,完全不懂数据库权限的用户需要谨慎,待核验,进阶,待核验,Firebase；Neon；PlanetScale,待实测后补充真实优点,待实测后补充真实缺点,使用前需确认是否会上传文本、图片、文件、代码或个人数据；敏感内容不建议直接提交给第三方服务。,涉及图片、视频、音乐、模板、字体或生成内容时，商用前必须核验授权条款。,待人工核验官网与文档,待实测,待补充真实测试场景,待实测后补充,待实测后补充,暂不下最终推荐结论,草稿,这是一个待实测的 Supabase 工具条目，当前只完成基础信息整理，暂不做最终推荐。,你用过 Supabase 吗？最劝退你的地方是什么？,"warm dark editorial website card illustration for Supabase, abstract productivity tool scene, no real logo, no official brand imitation",首批种子工具草稿，禁止直接发布，需人工核验和真实测试后再进入 ready 状态
